Samp_trip,file,zhang_ID,reef,collection_date,Month,Year,Si(uM),NO2(uM),N+N(uM),NO3(uM),NH4(uM),PO4(uM),date_processed,STD,Wash,watercolumn,transect,filtered,chloroform,dilution_factor,latitude,longitude
4,POR_nutrients_samp_trip4,Zhang_003,cf,25-Sep-19,September,2019,0,0.02,1.47,1.45,6.1,0.03,10/8/19,LNSW,LNSW,top,end,yes,yes,NA,25.22055,-80.21048
4,POR_nutrients_samp_trip4,Zhang_004,cf,25-Sep-19,September,2019,0,0.04,1.49,1.45,5.7,0.05,10/8/19,LNSW,LNSW,bottom,start,yes,yes,NA,25.22088,-80.21021
4,POR_nutrients_samp_trip4,Zhang_005,cf,25-Sep-19,September,2019,0,0.04,1.38,1.34,1.93,0.04,10/8/19,LNSW,LNSW,bottom,mid,yes,yes,NA,25.22073,-80.21035
4,POR_nutrients_samp_trip4,Zhang_006,cf,25-Sep-19,September,2019,0.1,0.07,1.74,1.68,60.11,0.08,10/8/19,LNSW,LNSW,bottom,end,yes,yes,15,25.22055,-80.21048
5,POR_nutrients_samp_trip5,Zhang_001,cf,19-Nov-19,November,2019,0.391,0,0.049,0.049,3.75,0.031,11/29/19,LNSW,LNSW,top,start,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,cf,19-Nov-19,November,2019,0.379,0.022,0.198,0.176,4.692,0.13,11/29/19,LNSW,LNSW,top,mid,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,cf,19-Nov-19,November,2019,0.343,0.013,0.279,0.266,9.882,0.044,11/29/19,LNSW,LNSW,top,end,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,cf,19-Nov-19,November,2019,0.43,0.011,0.25,0.239,2.395,0.06,11/29/19,LNSW,LNSW,bottom,start,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,cf,19-Nov-19,November,2019,0.71,0.035,0.243,0.208,2.668,0.047,11/29/19,LNSW,LNSW,bottom,mid,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,cf,19-Nov-19,November,2019,0.304,0.025,0.613,0.588,5.048,0.018,11/29/19,LNSW,LNSW,bottom,end,yes,yes,NA,,
1,POR_nutrients_samp_trip1,Zhang-02,gr,15-Nov-18,November,2018,1.179,0.025,0.399,0.374,6.411,0.138,12/20/18,LNSW,LNSW,bottom,D68,yes,yes,NA,,
2,POR_nutrients_samp_trip2,Zhang-04,gr,5-Mar-19,March,2019,0.308,0.021,1.021,1,21.558,0.055,3/7/19,LNSW,LNSW,bottom,NA,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-013,gr,1-Jul-19,July,2019,0.6,0.044,0.716,0.672,2.165,0.037,7/10/19,LNSW,LNSW,top,start,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-014,gr,1-Jul-19,July,2019,9.361,0.044,0.427,0.383,2.064,0.046,7/10/19,LNSW,LNSW,top,middle,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-015,gr,1-Jul-19,July,2019,0.536,0.037,0.565,0.528,7.119,0.05,7/10/19,LNSW,LNSW,top,end,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-016,gr,1-Jul-19,July,2019,0.6,0.043,0.813,0.77,8.317,0.028,7/10/19,LNSW,LNSW,bottom,start,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-017,gr,1-Jul-19,July,2019,0.591,0.047,0.347,0.3,3.723,0.034,7/10/19,LNSW,LNSW,bottom,middle,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-018,gr,1-Jul-19,July,2019,0.616,0.043,0.862,0.819,3.978,0.057,7/10/19,LNSW,LNSW,bottom,end,no,yes,NA,,
4,POR_nutrients_samp_trip4,Zhang_020,gr,26-Sep-19,September,2019,0.2,0.03,1.67,1.63,130.68,0.21,10/8/19,LNSW,LNSW,top,mid,yes,yes,15,25.11014,-80.30391
4,POR_nutrients_samp_trip4,Zhang_021,gr,26-Sep-19,September,2019,0,0.04,0.31,0.27,0.37,0.16,10/8/19,LNSW,LNSW,top,end,yes,yes,NA,25.11023,-80.30376
4,POR_nutrients_samp_trip4,Zhang_022,gr,26-Sep-19,September,2019,0,0.03,1.39,1.37,4.31,0.07,10/8/19,LNSW,LNSW,bottom,start,yes,yes,NA,25.11,-80.304
4,POR_nutrients_samp_trip4,Zhang_023,gr,26-Sep-19,September,2019,0.2,0.04,0.65,0.62,681.44,0.05,10/8/19,LNSW,LNSW,bottom,mid,yes,yes,15,25.11014,-80.30391
4,POR_nutrients_samp_trip4,Zhang_024,gr,26-Sep-19,September,2019,0,0.02,0.41,0.39,4.48,0.06,10/8/19,LNSW,LNSW,bottom,end,yes,yes,NA,25.11023,-80.30376
5,POR_nutrients_samp_trip5,Zhang_001,gr,26-Nov-19,November,2019,0.249,0.04,0.524,0.484,10.864,0.015,11/29/19,LNSW,LNSW,top,start,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,gr,26-Nov-19,November,2019,0.164,0.028,0.328,0.3,10.463,0.044,11/29/19,LNSW,LNSW,top,mid,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,gr,26-Nov-19,November,2019,0.156,0.031,0.309,0.278,14.235,0.084,11/29/19,LNSW,LNSW,top,end,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,gr,26-Nov-19,November,2019,0.304,0.039,0.528,0.489,7.192,0.067,11/29/19,LNSW,LNSW,bottom,start,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,gr,26-Nov-19,November,2019,0.162,0.031,0.336,0.305,19.826,0.062,11/29/19,LNSW,LNSW,bottom,mid,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,gr,26-Nov-19,November,2019,0.371,0.023,0.315,0.292,4.643,0.047,11/29/19,LNSW,LNSW,bottom,end,yes,yes,NA,,
4,POR_nutrients_samp_trip4,Zhang_007,ndr,25-Sep-19,September,2019,0,0.02,1.16,1.14,0.45,0.03,10/8/19,LNSW,LNSW,top,start,yes,yes,NA,25.13038,-80.29401
4,POR_nutrients_samp_trip4,Zhang_008,ndr,25-Sep-19,September,2019,0.1,0.03,1.23,1.2,183.98,0.06,10/8/19,LNSW,LNSW,top,mid,yes,yes,15,25.13035,-80.29387
4,POR_nutrients_samp_trip4,Zhang_009,ndr,25-Sep-19,September,2019,0.1,0.03,1.13,1.1,2.51,0.03,10/8/19,LNSW,LNSW,top,end,yes,yes,NA,25.13025,-80.29368
4,POR_nutrients_samp_trip4,Zhang_010,ndr,25-Sep-19,September,2019,0,0.04,1.09,1.05,6.1,0.05,10/8/19,LNSW,LNSW,bottom,start,yes,yes,NA,25.13038,-80.29401
4,POR_nutrients_samp_trip4,Zhang_011,ndr,25-Sep-19,September,2019,0,0.05,0.7,0.65,10.28,0.08,10/8/19,LNSW,LNSW,bottom,mid,yes,yes,NA,25.13035,-80.29387
4,POR_nutrients_samp_trip4,Zhang_012,ndr,25-Sep-19,September,2019,0,0.03,1.05,1.03,1.71,0.05,10/8/19,LNSW,LNSW,bottom,end,yes,yes,NA,25.13025,-80.29368
1,POR_nutrients_samp_trip1,Zhang-04,ndr,20-Nov-18,November,2018,1.28,0.027,0.437,0.41,5.908,0.135,12/20/18,LNSW,LNSW,bottom,149/CF2,yes,yes,NA,,
2,POR_nutrients_samp_trip2,Zhang-03,ndr,4-Mar-19,March,2019,0.308,0.024,0.899,0.875,23.115,0.056,3/7/19,LNSW,LNSW,bottom,NA,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-007,ndr,26-Jun-19,June,2019,0.624,0.033,1.954,1.921,3.502,0.036,7/10/19,LNSW,LNSW,bottom,start,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-008,ndr,26-Jun-19,June,2019,0.61,0.035,0.298,0.263,2.545,0.02,7/10/19,LNSW,LNSW,bottom,middle,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-009,ndr,26-Jun-19,June,2019,0.62,0.032,0.344,0.312,3.868,0.04,7/10/19,LNSW,LNSW,bottom,end,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-010,ndr,26-Jun-19,June,2019,0.602,0.024,1.104,1.08,6.953,0.052,7/10/19,LNSW,LNSW,top,start,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-011,ndr,26-Jun-19,June,2019,2.079,0.027,0.604,0.577,3.164,0.063,7/10/19,LNSW,LNSW,top,middle,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-012,ndr,26-Jun-19,June,2019,0.591,0.026,1.295,1.269,10.309,0.041,7/10/19,LNSW,LNSW,top,end,no,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,ndr,19-Nov-19,November,2019,0.29,0.007,0.01,0,3.422,0.034,11/29/19,LNSW,LNSW,top,start,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,ndr,19-Nov-19,November,2019,0.249,0.011,0.079,0.068,3.133,0.01,11/29/19,LNSW,LNSW,top,mid,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,ndr,19-Nov-19,November,2019,0.296,0.011,0.183,0.172,10.516,0.05,11/29/19,LNSW,LNSW,top,end,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,ndr,19-Nov-19,November,2019,0.12,0.036,0.358,0.322,5.111,0.033,11/29/19,LNSW,LNSW,bottom,start,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,ndr,19-Nov-19,November,2019,0,0.019,0.104,0.085,2.82,0.026,11/29/19,LNSW,LNSW,bottom,mid,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,ndr,19-Nov-19,November,2019,0,0.023,0.036,0.013,5.147,0.025,11/29/19,LNSW,LNSW,bottom,end,yes,yes,NA,,
1,POR_nutrients_samp_trip1,Zhang-01,pr,14-Nov-18,November,2018,1.453,0,0.712,0.712,6.128,0.153,12/20/18,LNSW,LNSW,bottom,NA,yes,yes,NA,,
2,POR_nutrients_samp_trip2,Zhang-02,pr,1-Mar-19,March,2019,0.504,0.015,0.729,0.714,19.858,0.037,3/7/19,LNSW,LNSW,bottom,NA,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-019,pr,2-Jul-19,July,2019,0.507,0.022,1.7,1.678,3.354,0.016,7/10/19,LNSW,LNSW,top,start,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-020,pr,2-Jul-19,July,2019,0.546,0.021,1.461,1.44,6.315,0.03,7/10/19,LNSW,LNSW,bottom,start,yes,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-021,pr,2-Jul-19,July,2019,0.455,0.021,1.073,1.052,3.83,0.019,7/10/19,LNSW,LNSW,top,middle,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-022,pr,2-Jul-19,July,2019,0.513,0.017,0.425,0.408,3.017,0.032,7/10/19,LNSW,LNSW,bottom,middle,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-023,pr,2-Jul-19,July,2019,0.46,0.027,0.606,0.579,4.332,0.026,7/10/19,LNSW,LNSW,bottom,end,no,yes,NA,,
3,POR_nutrients_samp_trip3,Zhang-024,pr,2-Jul-19,July,2019,0.456,0.02,6.305,6.285,4.962,0.053,7/10/19,LNSW,LNSW,top,end,no,yes,NA,,
4,POR_nutrients_samp_trip4,Zhang_013,pr,26-Sep-19,September,2019,0.5,0.03,1.6,1.56,17.38,0.12,10/8/19,LNSW,LNSW,top,start,yes,yes,NA,24.98452,-80.41635
4,POR_nutrients_samp_trip4,Zhang_014,pr,26-Sep-19,September,2019,0.3,0.02,0.77,0.75,5.01,0.01,10/8/19,LNSW,LNSW,top,mid,yes,yes,NA,24.98462,-80.41658
4,POR_nutrients_samp_trip4,Zhang_015,pr,26-Sep-19,September,2019,0.2,0.03,1.34,1.31,5.06,0.06,10/8/19,LNSW,LNSW,top,end,yes,yes,NA,24.98468,-80.41678
4,POR_nutrients_samp_trip4,Zhang_016,pr,26-Sep-19,September,2019,0.1,0.01,0.77,0.75,1.78,0.02,10/8/19,LNSW,LNSW,bottom,start,yes,yes,NA,24.98452,-80.41635
4,POR_nutrients_samp_trip4,Zhang_017,pr,26-Sep-19,September,2019,0.1,0.02,1.13,1.11,6.76,0.04,10/8/19,LNSW,LNSW,bottom,mid,yes,yes,NA,24.98462,-80.41658
4,POR_nutrients_samp_trip4,Zhang_018,pr,26-Sep-19,September,2019,0.2,0.04,0.64,0.61,2.39,0,10/8/19,LNSW,LNSW,bottom,end,yes,yes,NA,24.98468,-80.41678
4,POR_nutrients_samp_trip4,Zhang_019,pr,26-Sep-19,September,2019,0,0.03,0.29,0.26,1.54,0.33,10/8/19,LNSW,LNSW,top,start,yes,yes,NA,25.11,-80.304
5,POR_nutrients_samp_trip5,Zhang_001,pr,18-Nov-19,November,2019,1.931,0.013,0.357,0.344,5.166,0.052,11/29/19,LNSW,LNSW,top,start,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,pr,18-Nov-19,November,2019,1.866,0.035,0.458,0.423,5.005,0.088,11/29/19,LNSW,LNSW,top,mid,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,pr,18-Nov-19,November,2019,1.85,0.016,0.379,0.363,1.881,0.12,11/29/19,LNSW,LNSW,top,end,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,pr,18-Nov-19,November,2019,1.927,0.007,0.125,0.118,3.451,0.059,11/29/19,LNSW,LNSW,bottom,start,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,pr,18-Nov-19,November,2019,1.951,0.012,0.265,0.253,4.015,0.065,11/29/19,LNSW,LNSW,bottom,mid,yes,yes,NA,,
5,POR_nutrients_samp_trip5,Zhang_001,pr,18-Nov-19,November,2019,1.9,0.012,0.253,0.241,6.236,0.065,11/29/19,LNSW,LNSW,bottom,end,yes,yes,NA,,
